Year,Month,SOI
1989,06,0.7
1989,07,0.9
1989,08,-0.3
1989,09,0.5
1989,10,0.8
1989,11,-0.2
1989,12,-0.5
1990,01,-0.1
1990,02,-1.8
1990,03,-0.4
1990,04,0.2
1990,05,1.2
1990,06,0.3
1990,07,0.5
1990,08,-0.2
1990,09,-0.7
1990,10,0.3
1990,11,-0.5
1990,12,-0.2
1991,01,0.6
1991,02,0.3
1991,03,-0.7
1991,04,-0.6
1991,05,-1.0
1991,06,-0.1
1991,07,0.0
1991,08,-0.4
1991,09,-1.5
1991,10,-1.0
1991,11,-0.7
1991,12,-1.8
1992,01,-2.9
1992,02,-0.9
1992,03,-2.0
1992,04,-1.0
1992,05,0.3
1992,06,-0.6
1992,07,-0.6
1992,08,0.4
1992,09,0.1
1992,10,-1.4
1992,11,-0.7
1992,12,-0.6
1993,01,-0.9
1993,02,-0.7
1993,03,-0.5
1993,04,-1.2
1993,05,-0.3
1993,06,-0.8
1993,07,-0.8
1993,08,-0.9
1993,09,-0.7
1993,10,-1.1
1993,11,-0.1
1993,12,0.2
1994,01,-0.1
1994,02,0.3
1994,03,-0.7
1994,04,-1.3
1994,05,-0.7
1994,06,-0.4
1994,07,-1.3
1994,08,-1.2
1994,09,-1.6
1994,10,-1.1
1994,11,-0.6
1994,12,-1.2
1995,01,-0.4
1995,02,-0.1
1995,03,0.8
1995,04,-0.7
1995,05,-0.4
1995,06,0.1
1995,07,0.4
1995,08,0.3
1995,09,0.3
1995,10,0.0
1995,11,0.0
1995,12,-0.5
1996,01,1.0
1996,02,0.3
1996,03,1.1
1996,04,0.8
1996,05,0.3
1996,06,1.2
1996,07,0.7
1996,08,0.7
1996,09,0.6
1996,10,0.6
1996,11,-0.1
1996,12,0.9
1997,01,0.5
1997,02,1.7
1997,03,-0.4
1997,04,-0.6
1997,05,-1.3
1997,06,-1.4
1997,07,-0.8
1997,08,-1.4
1997,09,-1.4
1997,10,-1.5
1997,11,-1.2
1997,12,-1.0
1998,01,-2.7
1998,02,-2.0
1998,03,-2.4
1998,04,-1.4
1998,05,0.3
1998,06,1.0
1998,07,1.2
1998,08,1.2
1998,09,1.0
1998,10,1.1
1998,11,1.0
1998,12,1.4
1999,01,1.8
1999,02,1.0
1999,03,1.3
1999,04,1.4
1999,05,0.2
1999,06,0.3
1999,07,0.5
1999,08,0.4
1999,09,-0.1
1999,10,1.0
1999,11,1.0
1999,12,1.4
2000,01,0.7
2000,02,1.7
2000,03,1.3
2000,04,1.2
2000,05,0.4
2000,06,-0.2
2000,07,-0.2
2000,08,0.7
2000,09,0.9
2000,10,1.1
2000,11,1.8
2000,12,0.8
2001,01,1.0
2001,02,1.7
2001,03,0.9
2001,04,0.2
2001,05,-0.5
2001,06,0.3
2001,07,-0.2
2001,08,-0.4
2001,09,0.2
2001,10,0.0
2001,11,0.7
2001,12,-0.8
2002,01,0.4
2002,02,1.1
2002,03,-0.2
2002,04,-0.1
2002,05,-0.8
2002,06,-0.2
2002,07,-0.5
2002,08,-1.0
2002,09,-0.6
2002,10,-0.4
2002,11,-0.5
2002,12,-1.1
2003,01,-0.2
2003,02,-0.7
2003,03,-0.3
2003,04,-0.1
2003,05,-0.3
2003,06,-0.6
2003,07,0.3
2003,08,0.1
2003,09,-0.1
2003,10,0.0
2003,11,-0.3
2003,12,1.1
2004,01,-1.3
2004,02,1.2
2004,03,0.4
2004,04,-0.9
2004,05,1.0
2004,06,-0.8
2004,07,-0.5
2004,08,-0.3
2004,09,-0.3
2004,10,-0.1
2004,11,-0.7
2004,12,-0.8
2005,01,0.3
2005,02,-3.1
2005,03,0.3
2005,04,-0.6
2005,05,-0.8
2005,06,0.4
2005,07,0.2
2005,08,-0.3
2005,09,0.4
2005,10,1.2
2005,11,-0.2
2005,12,0.0
2006,01,1.7
2006,02,0.1
2006,03,1.8
2006,04,1.1
2006,05,-0.5
2006,06,-0.2
2006,07,-0.6
2006,08,-1.0
2006,09,-0.6
2006,10,-1.3
2006,11,0.1
2006,12,-0.3
2007,01,-0.8
2007,02,-0.1
2007,03,0.2
2007,04,-0.1
2007,05,-0.1
2007,06,0.5
2007,07,-0.3
2007,08,0.4
2007,09,0.2
2007,10,0.7
2007,11,0.9
2007,12,1.7
2008,01,1.8
2008,02,2.6
2008,03,1.4
2008,04,0.7
2008,05,-0.1
2008,06,0.6
2008,07,0.3
2008,08,1.0
2008,09,1.2
2008,10,1.3
2008,11,1.3
2008,12,1.4
2009,01,1.1
2009,02,1.9
2009,03,0.4
2009,04,0.8
2009,05,-0.1
2009,06,0.1
2009,07,0.2
2009,08,-0.2
2009,09,0.3
2009,10,-1.2
2009,11,-0.6
2009,12,-0.7
2010,01,-1.1
2010,02,-1.5
2010,03,-0.7
2010,04,1.2
2010,05,0.9
2010,06,0.4
2010,07,1.8
2010,08,1.8
2010,09,2.2
2010,10,1.7
2010,11,1.3
2010,12,2.9
2011,01,2.3
2011,02,2.7
2011,03,2.5
2011,04,1.9
2011,05,0.4
2011,06,0.2
2011,07,1.0
2011,08,0.4
2011,09,1.0
2011,10,0.8
2011,11,1.1
2011,12,2.5
2012,01,1.1
2012,02,0.5
2012,03,0.7
2012,04,-0.3
2012,05,0.0
2012,06,-0.4
2012,07,0.0
2012,08,-0.2
2012,09,0.2
2012,10,0.3
2012,11,0.3
2012,12,-0.6
2013,01,-0.1
2013,02,-0.2
2013,03,1.5
2013,04,0.2
2013,05,0.8
2013,06,1.2
2013,07,0.8
2013,08,0.2
2013,09,0.3
2013,10,-0.1
2013,11,0.7
2013,12,0.1
2014,01,1.4
2014,02,0.1
2014,03,-0.9
2014,04,0.8
2014,05,0.5
2014,06,0.2
2014,07,-0.2
2014,08,-0.7
2014,09,-0.7
2014,10,-0.6
2014,11,-0.9
2014,12,-0.6
2015,01,-0.8
2015,02,0.2
2015,03,-0.7
2015,04,0.0
2015,05,-0.7
2015,06,-0.6
2015,07,-1.1
2015,08,-1.4
2015,09,-1.6
2015,10,-1.7
2015,11,-0.5
2015,12,-0.6
2016,01,-2.2
2016,02,-2.0
2016,03,-0.1
2016,04,-1.2
2016,05,0.4
2016,06,0.6
2016,07,0.4
2016,08,0.7
2016,09,1.2
2016,10,-0.3
2016,11,-0.1
2016,12,0.3
2017,01,0.2
2017,02,-0.1
2017,03,0.9
2017,04,-0.2
