Time,Southern Oscillation Index,NINO3 SST
1901.416667,,-0.2424167
1901.4971498907478,1.51,
1901.5,,-0.394125
1901.582025077962,0.8,
1901.583333,,-0.31425
1901.666667,,-0.2810833
1901.6669002651763,-1.58,
1901.7490375431257,-2.69,
1901.75,,-0.098124996
1901.833333,,-0.093250006
1901.83391273034,-0.95,
1901.9160500082892,-0.32,
1901.916667,,-0.001625003
1902.0,,0.2580833
1902.0009251955034,1.68,
1902.083333,,0.4116667
1902.0858003827177,-0.28,
1902.162461842137,1.1,
1902.166667,,0.491125
1902.2473370293512,1.15,
1902.25,,0.6415
1902.3294743073006,1.41,
1902.333333,,0.8915833
1902.414349494515,0.24,
1902.416667,,1.180208
1902.496486772464,0.21,
1902.5,,1.549333
1902.5813619596784,-1.09,
1902.583333,,1.597583
1902.6662371468926,-1.76,
1902.666667,,1.634208
1902.748374424842,-0.77,
1902.75,,1.550208
1902.8332496120563,-0.26,
1902.833333,,1.778667
1902.9153868900055,-0.45,
1902.916667,,1.554833
1903.0,,1.133708
1903.0002620772198,-1.1,
1903.083333,,0.8522917
1903.085137264434,-1.11,
1903.1617987238533,1.8,
1903.166667,,0.5903333
1903.2466739110675,2.18,
1903.25,,0.23875
1903.328811189017,0.92,
1903.333333,,-0.022041667
1903.4136863762312,-0.22,
1903.416667,,-0.297875
1903.4958236541804,0.6,
1903.5,,-0.4165
1903.5806988413947,-0.15,
1903.583333,,-0.4931667
1903.665574028609,0.81,
1903.666667,,-0.570875
1903.7477113065581,0.3,
1903.75,,-0.5977917
1903.8325864937724,-0.05,
1903.833333,,-0.7731667
1903.9147237717218,1.66,
1903.916667,,-0.9750417
1903.999598958936,1.39,
1904.0,,-0.6440833
1904.083333,,-0.428
1904.0844741461503,1.53,
1904.1638735148347,0.89,
1904.166667,,-0.2572083
1904.248748702049,3.64,
1904.25,,0.010875
1904.3308859799981,1.0,
1904.333333,,0.2477084
1904.4157611672124,-1.01,
1904.416667,,0.3547917
1904.4978984451616,-0.87,
1904.5,,0.6286667
1904.5827736323758,-0.11,
1904.583333,,0.7090834
1904.666667,,0.5278333
1904.66764881959,-0.01,
1904.7497860975395,-0.11,
1904.75,,0.7075
