Depth [m],d18O [permil],Age [yr BP]
2314,-39.63,43203
2316,-39.16,43305
2318,-40.21,43413
2320,-39.93,43532
2322,-39.94,43649
2324,-39.64,43770
2326,-39.1,43887
2328,-39.55,44003
2330,-38.88,44111
2332,-38.8,44210
2334,-38.16,44299
2336,-37.96,44393
2338,-38.2,44492
2340,-38.13,44583
2342,-38.4,44676
2344,-37.69,44761
2346,-37.52,44850
2348,-37.27,44941
2350,-37.27,45028
2352,-36.81,45107
2354,-36.91,45197
2356,-36.79,45283
2358,-38.85,45360
2360,-40.93,45462
2362,-41,45585
2364,-40.28,45721
2366,-40.85,45859
2368,-40.55,46024
2370,-41.19,46194
2372,-40.68,46363
2374,-39.55,46531
