Age,Deuterium,Temperature
7792.45361,-405.5,-2.03
7812.20361,-399.5,-1.04
7833.15186,-402.1,-1.47
7854.24023,-402.2,-1.49
7874.2207,-395.2,-0.34
7893.61865,-391.6,0.26
7913.12061,-396.5,-0.56
7932.94727,-399.5,-1.06
7952.77002,-400.6,-1.24
7973.72852,-401.6,-1.41
7994.78516,-400.6,-1.25
8016.25537,-406.3,-2.19
8037.89941,-398.3,-0.87
8060.00879,-411.7,-3.09
8082.52441,-399.8,-1.13
8104.10156,-396.9,-0.65
8124.47559,-401.4,-1.4
8145.28857,-405.3,-2.04
8168.22363,-408.3,-2.54
8191.03564,-406.5,-2.25
8213.10742,-400.8,-1.31
8235.14648,-403.2,-1.71
8255.94727,-397.5,-0.77
8276.73535,-401,-1.35
8297.71387,-401.5,-1.43
8318.74023,-400.4,-1.26
8339.99707,-400.3,-1.24
8361.41699,-407.3,-2.4
8383.13184,-403,-1.69
8405.27148,-404.2,-1.89
8426.94141,-401.2,-1.4
8447.5625,-397.2,-0.74
8468.13672,-396.9,-0.7
8488.25391,-397.8,-0.85
8508.36719,-409.5,-2.79
8528.88184,-397.1,-0.74
8549.50879,-390.3,0.38
8569.625,-397.5,-0.81
8589.31641,-401.9,-1.54
8608.98145,-392.4,0.02
8628.54395,-399.9,-1.22
8648.09375,-399.3,-1.13
8668.16602,-396.7,-0.7
8688.30762,-402.1,-1.6
8708.86133,-401.8,-1.55
8729.69824,-397.5,-0.84
8750.14453,-400.2,-1.29
8769.94727,-395,-0.44
8789.86426,-404.4,-2
8811.45508,-402.1,-1.62
8833.03223,-397.9,-0.93
8852.47656,-393.4,-0.19
8871.72363,-397.7,-0.9
8891.24512,-397.4,-0.86
8910.98535,-397.4,-0.86
8930.55859,-399,-1.13
8949.62988,-391.8,0.05
8968.69824,-392.7,-0.1
8988.20996,-401.1,-1.49
9007.7959,-396.1,-0.67
9027.30762,-397.7,-0.94
9046.75586,-395.6,-0.59
9066.20117,-398.6,-1.09
9085.62891,-394.9,-0.49
9105.04492,-394.9,-0.49
9126.03223,-407.4,-2.56
9147.31738,-403.4,-1.9
9167.60547,-392.2,-0.06
9187.44238,-400.4,-1.42
9206.50879,-391.1,0.11
9224.43359,-388.5,0.54
9242.35645,-394.8,-0.51
9261.82617,-397.7,-0.99
9281.49414,-401.2,-1.57
9300.67285,-391.9,-0.04
9319.49219,-393.3,-0.28
9338.2959,-394.3,-0.45
9357.02734,-395,-0.57
9375.74414,-392.4,-0.14
9393.95703,-393.5,-0.33
9412,-390,0.24
9429.85156,,0.36
9447.16602,-388.5,0.48
9464.46777,-394.3,-0.48
9483.60059,-403.6,-2.02
9503.57812,-393.3,-0.33
9523.06836,-398,-1.11
9541.80664,-391,0.04
9560.53027,-395.8,-0.75
9578.31836,-386.4,0.79
9596.10449,-391.8,-0.1
9614.36035,-398.2,-1.16
9633.125,-391.6,-0.08
9651.76953,-393.4,-0.38
9669.01953,-384.4,1.11
9686.26855,-391.3,-0.04
9703.60352,-391,0.01
9721.02539,-388.3,0.45
9738.43359,-391.4,-0.07
9755.05371,-382.9,1.33
9771.61035,-387.2,0.62
9788.9502,-405.5,-2.4
9808.65137,-391.7,-0.13
9828.33984,-392.1,-0.2
9847.20898,-400.4,-1.57
9866.01172,-386.7,0.68
9884.24121,-394.5,-0.61
9901.97559,-389.9,0.15
9919.73633,-394.7,-0.65
9938.54395,-396.6,-0.97
9957.35059,-388.6,0.35
9975.7627,-392.9,-0.36
9993.95703,-395.2,-0.75
10011.9775,-389.1,0.26
10029.3438,-388.7,0.32
10046.71,-391.8,-0.2
10064.6074,-388.8,0.29
10082.8076,-397.7,-1.18
10100.7148,-390.4,0.02
10117.3848,-382.1,1.39
10134.0547,-387.9,0.43
10151.3037,-390.6,-0.02
10169.0801,-393.3,-0.47
10186.8447,-388.1,0.38
10204.6504,-391.6,-0.2
10222.457,-396.9,-1.08
10240.6914,-398.7,-1.38
10259.3174,-386.6,0.61
10277.8193,-390.7,-0.07
10295.4287,-391.2,-0.15
10313.0391,-389.5,0.12
10331.2852,-400.9,-1.76
10349.9658,-388.6,0.26
10368.6934,-397.9,-1.27
10387.6484,-393,-0.47
10406.6045,-394.4,-0.71
10425.666,-399.4,-1.53
10444.7451,-388.2,0.31
10462.4648,-386.8,0.53
10478.709,-383,1.16
10494.9551,-387.5,0.41
10511.0078,-390.1,-0.02
10527.0107,-377.1,2.12
10543.0801,-397.4,-1.23
10561.7129,-390.6,-0.12
10580.3486,-393.2,-0.55
10599.0938,-395.2,-0.88
10617.9082,-393.7,-0.64
10636.5059,-392.9,-0.51
10654.5195,-391.4,-0.27
10672.5352,-384.5,0.86
10690.502,-394.4,-0.77
10708.46,-394.8,-0.84
10726.8691,-395.8,-1.01
10746.2324,-396.2,-1.08
10765.5918,-395.4,-0.96
10784.1104,-391.7,-0.35
10802.6348,-390.9,-0.22
10820.6396,-388,0.25
10838.3174,-392.6,-0.51
10856.1475,-397.7,-1.36
10875.415,-394.3,-0.8
10894.6758,-391.4,-0.33
10912.8857,-387.7,0.28
