###,Series metadata
written by,Pyleoclim 1.0.0b0
time_unit,kyr BP
time_name,Age
value_unit,ppm
value_name,$CO_2$
label,EPICA Dome C CO2
lat,
lon,
archiveType,
importedFrom,
log,"({0: 'clean_ts', 'applied': True, 'verbose': False},)"
###,end metadata
Age [kyr BP],$CO_2$ [ppm]
29.205299999999998,188.1
29.249599999999997,192.39
29.323900000000002,191.01
29.3661,189.83
29.4102,189.21
29.6092,189.24
29.6812,189.77
29.7428,191.28
29.837799999999998,190.97
29.952099999999998,191.38
29.999,191.57
30.1015,188.25
30.1817,188.48
30.277900000000002,186.52
30.3127,185.99
30.4005,184.3
30.5288,182.94
30.713,187.14
30.7757,190.33
31.1052,188.0
31.3564,188.48
31.524099999999997,189.95
31.792099999999998,193.71
31.8184,192.93
31.9339,192.51
32.026900000000005,193.33
32.0796,193.91
32.1475,196.42
32.1506,196.91
32.307900000000004,192.47
32.361200000000004,195.25
32.4348,194.11
32.5111,194.61
32.5946,194.43
32.6778,195.08
32.7141,195.94
32.8131,199.3
32.880900000000004,196.7
33.009,196.33
33.148300000000006,197.65
33.4175,196.9
33.4914,197.13
33.5553,197.8
33.7581,200.03
33.841,195.63
33.8857,195.27
33.9075,194.46
33.9259,194.47
33.957,196.47
33.9915,195.41
34.0642,195.93
34.1903,194.89
34.250800000000005,195.79
34.3128,196.27
34.3344,196.2
34.5569,199.65
34.602599999999995,199.49
34.62,200.29
34.647800000000004,198.89
34.7106,197.16
34.8256,202.8
34.866800000000005,203.09
35.0896,198.78
35.165800000000004,203.6
35.281699999999994,205.38
35.337,204.47
35.3594,203.62
35.383,201.36
35.445800000000006,200.3
35.497099999999996,201.06
35.5085,202.04
35.530699999999996,201.89
35.568,201.83
35.6725,201.81
35.7016,200.5
35.8546,203.29
35.9483,198.8
36.0865,204.12
36.1731,201.78
36.2618,200.09
36.5063,198.96
36.591800000000006,205.1
36.669599999999996,203.77
36.7128,203.75
36.8202,202.76
36.939800000000005,203.51
37.0234,206.36
37.1186,210.16
37.1432,207.35
37.2965,208.25
37.302,209.66
37.3381,206.59
37.431,212.51
37.4613,209.84
37.6186,214.3
37.6475,212.14
37.7772,212.09
37.895,214.21
38.0003,211.21
38.0885,214.36
38.1656,208.34
38.1924,206.52
38.2842,207.41
38.359199999999994,208.0
38.412800000000004,210.79
38.4729,207.23
38.533199999999994,210.08
38.5736,208.23
38.6218,204.79
38.6708,204.46
38.7234,206.54
38.812599999999996,206.09
38.8747,205.65
38.9556,205.99
38.976800000000004,202.34
39.053599999999996,204.28
39.1205,207.32
39.265699999999995,208.69
39.3032,209.5
39.319900000000004,209.33
39.339800000000004,207.87
39.379400000000004,204.78
39.4029,191.53
39.4544,198.14
39.5154,200.4
39.621,195.7
39.709199999999996,196.67
39.7571,193.58
39.885,193.87
39.9005,197.55
40.042699999999996,192.6
40.1121,193.08
40.145300000000006,193.69
40.3084,197.9
40.485949999999995,201.32
40.55344,201.48
40.7543,200.47
40.90739,200.97
41.1679,201.53
41.30359,204.19
41.60597,205.49
41.759209999999996,201.12
41.900690000000004,199.89
42.31582,200.9
42.6283,204.83
42.84987,206.35
42.96808,204.26
43.17189,203.16
43.350660000000005,201.66
43.51582,204.22
43.66116,203.18
43.80901,201.69
44.0952,204.31
44.204449999999994,202.0
44.35047,206.22
44.4905,204.83
44.65554,212.29
44.81601,210.44
44.99616,211.49
45.142019999999995,207.95
45.28039,213.92
45.46032,214.5
45.696059999999996,217.51
45.87711,222.72
46.05733,221.77
46.18126,219.25
46.308550000000004,218.35
46.6359,216.42
46.74644,214.18
46.88794,210.84
47.08628,210.27
47.314980000000006,207.6
47.52436,204.26
47.71039,203.79
47.94375,205.66
48.22318,206.18
48.42786,200.98
48.98795,201.58
49.302980000000005,200.12
49.46266000000001,204.06
49.72832,203.87
50.00651,204.38
50.22055,206.74
50.52741,207.41
51.02917,207.64
51.43145,211.57
51.77953,215.08
52.08682,213.82
52.38478,219.08
52.57368,220.72
52.80074,221.15
53.10825,223.72
53.40045,223.26
53.80625,221.14
54.1566,220.37
54.38713,217.96
54.69461,213.89
55.014489999999995,216.86
55.293459999999996,208.19
55.553129999999996,214.78
55.90954,210.27
56.23713,207.67
56.50358,212.44
57.21094,215.7
57.47627,217.38
57.843720000000005,223.72
58.21701,224.35
58.43332,223.15
59.10507,231.29
59.380410000000005,226.35
59.733470000000004,223.45
60.10988,216.66
60.373059999999995,212.87
60.51663,217.25
60.817620000000005,213.78
61.06088,207.95
61.23484,210.57
61.55411,210.9
61.90072,206.38
62.55201,202.56
62.77457,202.71
62.9609,200.15
63.55579,197.4
63.896879999999996,197.24
64.11378,199.73
64.65729,203.7
64.86742,201.67
65.04672000000001,199.17
65.54645,208.98
65.76451,198.17
65.93723,200.59
66.43930999999999,204.39
66.95971,207.21
67.31459,201.14
67.72967999999999,203.76
68.14619,200.17
68.61999,203.43
69.08153,205.42
69.59202,211.26
70.05216,215.55
70.42725999999999,220.33
70.92886999999999,225.17
71.27917,235.02
71.69364999999999,237.56
72.09281,239.46
72.49015,232.79
72.86604,232.33
73.21932000000001,230.89
73.75096,232.74
74.22148,231.33
74.52565,241.24
75.06795,243.27
75.54513,249.52
75.85064999999999,249.94
76.24747,239.34
76.69674,238.01
77.05648,231.68
77.61592,224.92
78.08075,226.65
78.50795,224.14
78.96954,227.3
79.41036,229.26
79.87776,234.74
80.33036,230.6
80.72179,233.92
81.20694,230.33
81.71143,234.13
82.06878999999999,238.89
82.52672,240.87
82.98826,246.32
83.55411,247.1
83.9409,250.79
84.35744,243.16
84.93677000000001,238.42
85.36747,234.69
85.89069,228.76
86.49832,223.38
87.02764,221.06
87.58117999999999,223.63
88.13618,217.8
88.70105000000001,223.99
89.24472,227.38
89.69626,228.88
90.31729,229.74
90.83402000000001,231.56
91.44503,231.12
91.94974,233.74
92.66782,232.46
93.42471,235.16
93.82321,238.21
94.56855,242.41
95.23411,242.91
95.92148,246.2
96.47488,245.76
97.27089,242.35
97.92746000000001,239.86
98.58372,243.18
99.36142,242.99
100.07685000000001,245.63
100.54317999999999,247.87
101.32567999999999,244.76
101.97189,240.07
102.76478,237.07
103.30874,240.68
104.27433,247.76
104.33122999999999,238.88
104.96645,242.36
105.50715,248.78
105.98987,257.58
106.25638000000001,241.4
106.36825,244.83
106.97482000000001,240.34
108.40191,236.43
109.12942,244.44
109.83997000000001,244.13
110.55536000000001,246.69
111.8768,257.93
112.63606,256.79
112.94172999999999,263.12
113.11927,264.75
113.67864,260.58
114.25,267.9
114.81539,275.07
115.44667,276.96
115.90858,273.16
116.47558000000001,273.63
117.18555,274.03
117.61936,274.98
118.65827,277.72
119.24252,267.74
119.7155,274.59
120.14412,268.73
120.54291,276.82
121.42602000000001,279.48
121.84197,276.61
122.1,278.25
122.29236,279.0
123.01395,279.16
123.63091,274.6
123.95948,275.87
124.40452,281.54
124.81745,275.52
125.29263,276.81
126.0137,275.15
126.69991,273.02
126.96203,274.93
127.31383,275.78
127.50355,276.88
128.02447999999998,276.03
128.17267,280.72
128.46672999999998,285.76
128.878,271.08
129.07804,268.44
129.65564,260.61
130.37303,251.84
130.81836,250.84
131.3222,241.13
131.97624,232.28
132.70988,228.0
132.93196,224.63
133.77581,222.74
134.52228,212.43
136.56555,203.74
137.76342000000002,199.18
138.83429999999998,198.55
139.94997,192.75
142.36056,196.51
143.6513,194.59
144.79959,196.02
146.10824,193.59
148.23347,195.81
149.46615,201.78
150.59488000000002,202.51
151.44485,202.35
153.77466,198.78
154.88913,196.3
156.30682000000002,189.38
158.666,189.0
159.716,185.5
160.155,187.5
163.858,204.3
164.33464999999998,196.5
166.143,191.6
166.784,190.1
167.91410000000002,186.7
168.7455,183.8
169.5144,196.6
171.939,197.8
174.442,197.7
175.83335,196.0
176.853,190.3
177.53393,189.4
177.7295,190.1
179.873,207.7
181.302,213.2
182.196,217.7
183.258,198.1
184.371,199.7
186.411,203.4
188.437,210.7
189.8065,231.3
191.2545,231.4
191.96408,220.3
193.0745,218.0
195.1265,226.5
195.7995,220.0
197.58735000000001,226.4
198.32745,241.2
198.938,242.6
201.752,250.9
202.7445,239.1
203.842,247.6
205.20328,244.4
205.57576,231.9
205.94457999999997,232.2
206.35994,228.6
206.89685,226.3
207.2403,229.4
207.62289,231.4
208.10878,238.1
208.27453,237.2
208.82157,230.0
209.08226000000002,240.5
209.44504,242.2
209.96609,244.6
210.17517,243.9
210.83207000000002,247.2
211.05847,252.0
211.57784,246.9
212.07875,239.5
212.53307999999998,257.4
213.33035,243.4
214.15881,251.2
215.08075,241.4
215.91234,240.3
216.30615,242.6
216.86497,247.5
217.41564000000002,251.7
217.69495999999998,251.1
218.20079,245.3
219.06760999999997,240.5
220.93562,214.1
221.69745999999998,216.1
222.53958,207.1
223.12904,208.8
224.27151,205.6
226.25983,203.3
226.84984,215.7
227.71998000000002,235.5
228.43942,234.5
228.76699,233.1
229.57205,224.5
231.12966,232.4
232.19177,233.9
232.85605999999999,241.6
235.99086,245.2
236.42601000000002,252.1
236.8508,241.4
237.39166,247.4
237.90553,243.1
238.42534,239.1
239.00826,245.6
239.38704,245.8
239.73866,247.4
240.19037,252.8
241.33305,259.7
241.8554,263.2
242.68545999999998,279.0
243.13852,280.2
244.12177,263.7
244.58234,252.3
245.05701000000002,249.9
245.564,236.7
246.18881,230.4
246.87049,219.4
249.09986999999998,214.7
251.39057,200.2
252.13226,213.9
252.95372,195.4
253.75668,196.7
254.58711,195.4
256.29866,199.0
257.06059,201.9
257.90807,204.0
259.3969,203.9
260.89423999999997,209.6
261.29392,205.7
262.05458,208.9
262.8171,214.6
264.58376,228.1
266.13445,199.9
267.007,211.7
268.25783,188.7
268.9955,187.2
269.94046999999995,194.2
271.03603999999996,198.8
272.14964000000003,184.7
273.16583,190.4
274.16408,193.9
275.15464000000003,194.1
276.25771999999995,198.4
277.443,193.2
278.59090999999995,202.2
279.61905,204.5
280.55895000000004,211.0
281.40074,215.3
282.59289,223.7
284.43468,231.3
285.93132,228.0
286.60996,226.4
287.44386,231.4
287.82005,230.4
288.28643,231.0
290.1845,234.9
290.86379,220.4
291.56287,217.1
292.81831,207.6
293.65074,206.0
294.45529,206.7
295.36422999999996,212.7
296.82887,213.1
298.70462,217.1
299.37628,224.4
300.11587,231.0
301.02562,236.1
302.08419,239.0
303.116,236.0
304.10092,240.2
305.09981,240.7
305.77815000000004,250.2
306.58112,248.6
307.46327,244.8
308.3257,225.8
309.42373,227.8
310.01097999999996,226.2
310.7761,233.2
311.67003000000005,237.8
312.59343,239.0
313.34313000000003,241.9
314.05185,251.6
314.83621,256.7
315.65752000000003,257.1
316.45072,246.8
317.14987,272.6
317.93255,251.6
318.8526,245.2
319.82966,233.4
320.91634000000005,255.8
321.81745,249.2
323.38334999999995,257.2
324.16692,260.4
325.00741,260.3
325.823,260.5
326.59109,266.2
327.43584000000004,264.0
328.08681,266.1
328.77075,270.1
329.41429,271.9
330.05333,275.1
331.29355,265.0
332.14412,271.7
332.79861999999997,272.6
333.50009,273.1
333.99756,282.4
334.3495,289.1
334.54389000000003,288.4
335.10231,298.6
335.70751,278.1
336.37753999999995,285.8
336.86782,278.6
337.51667,270.5
338.2135,255.7
338.99144,241.9
339.98389000000003,239.6
340.73508000000004,234.2
342.79156,250.1
343.92359000000005,200.7
345.00084999999996,205.2
346.32090999999997,204.8
347.54481,211.9
349.13909,220.3
351.67634999999996,221.1
353.1746,216.2
354.41298,209.4
355.81777,209.2
359.01038,193.0
360.68384000000003,186.1
362.56759999999997,185.8
365.19023,201.2
368.0659,206.3
371.38587,201.9
373.45762,199.9
375.20459999999997,214.7
377.03488,224.6
378.76024,229.6
382.93149,227.0
384.55745,240.0
386.28371000000004,239.1
387.82482,246.8
389.41021,245.8
392.28725,258.1
392.97715000000005,259.5
394.00369,273.6
394.9061,260.7
398.27513,276.3
399.92616,277.1
400.71008,283.2
402.14092,283.1
402.85984,275.7
404.31329999999997,276.5
405.06263,280.5
406.5428,279.6
407.2825,285.6
408.81872,284.5
409.59824,274.7
410.4538,282.6
411.34797,283.5
413.25865000000005,274.9
414.21085999999997,264.9
415.17959,271.6
415.94561,276.4
416.42532,271.7
417.44044,273.4
417.95678000000004,271.8
418.5053,274.6
419.57578,273.7
420.13376,271.2
420.70176000000004,273.8
421.91215,268.6
422.53265000000005,266.4
423.2255,270.6
424.50775,267.7
425.13226000000003,268.3
425.74091,270.8
426.23727,270.0
426.62156,265.4
427.15496,255.3
427.94140000000004,252.1
428.84020000000004,248.2
429.17836,242.5
431.02376,219.7
432.17931,227.2
433.8503,211.5
434.37907,207.6
435.93969,209.8
437.48542,207.5
439.06342,200.3
440.65958,201.7
442.23078000000004,201.3
443.84465,202.0
445.33173,199.1
447.21918,201.1
448.45918,203.5
449.57104,208.1
450.64289,201.7
451.74728000000005,201.2
452.73584000000005,204.9
453.77564,201.9
454.86431,198.4
456.00160999999997,193.3
457.11444,192.5
457.74513,199.1
458.20829,204.3
458.79401,203.3
459.21155,208.3
460.25221000000005,202.4
461.28606,195.5
462.41409999999996,190.7
463.52665,194.4
464.59947,199.9
465.26536,205.2
465.60173,210.0
466.6323,208.1
467.70664,204.4
468.87771000000004,203.4
470.04013,205.5
470.72598,206.5
471.20079,215.5
471.82453000000004,218.7
472.26307,229.2
472.86327,232.7
