Southern Oscillation Index (SOI),,
Date,Year,Value
198406,1984.416667,-0.3
198407,1984.5,0.2
198408,1984.583333,0.4
198409,1984.666667,0.1
198410,1984.75,-0.3
198411,1984.833333,0.3
198412,1984.916667,-0.1
198501,1985,-0.3
198502,1985.083333,1.2
198503,1985.166667,0.8
198504,1985.25,1.2
198505,1985.333333,0.4
198506,1985.416667,-0.4
198507,1985.5,-0.1
198508,1985.583333,1
198509,1985.666667,0
198510,1985.75,-0.4
198511,1985.833333,-0.2
198512,1985.916667,0.2
198601,1986,1
198602,1986.083333,-1
198603,1986.166667,0.5
198604,1986.25,0.3
198605,1986.333333,-0.2
198606,1986.416667,1
198607,1986.5,0.3
198608,1986.583333,-0.4
198609,1986.666667,-0.5
198610,1986.75,0.6
198611,1986.833333,-1.2
198612,1986.916667,-1.4
198701,1987,-0.7
198702,1987.083333,-1.2
198703,1987.166667,-1.3
198704,1987.25,-1.4
198705,1987.333333,-1.3
198706,1987.416667,-1.1
198707,1987.5,-1.4
198708,1987.583333,-0.9
198709,1987.666667,-1
198710,1987.75,-0.4
198711,1987.833333,0
198712,1987.916667,-0.5
198801,1988,-0.1
198802,1988.083333,-0.4
198803,1988.166667,0.6
198804,1988.25,0.1
198805,1988.333333,0.9
198806,1988.416667,0.1
198807,1988.5,1
198808,1988.583333,1.5
198809,1988.666667,1.8
198810,1988.75,1.4
198811,1988.833333,1.7
198812,1988.916667,1.2
198901,1989,1.5
198902,1989.083333,1.2
198903,1989.166667,1.1
198904,1989.25,1.6
198905,1989.333333,1.2
198906,1989.416667,0.7
198907,1989.5,0.9
198908,1989.583333,-0.3
198909,1989.666667,0.5
198910,1989.75,0.8
198911,1989.833333,-0.2
198912,1989.916667,-0.5
199001,1990,-0.1
199002,1990.083333,-1.8
199003,1990.166667,-0.4
199004,1990.25,0.2
199005,1990.333333,1.2
199006,1990.416667,0.3
199007,1990.5,0.5
199008,1990.583333,-0.2
199009,1990.666667,-0.7
199010,1990.75,0.3
199011,1990.833333,-0.5
199012,1990.916667,-0.2
199101,1991,0.6
199102,1991.083333,0.3
199103,1991.166667,-0.7
199104,1991.25,-0.6
199105,1991.333333,-1
199106,1991.416667,-0.1
199107,1991.5,0
199108,1991.583333,-0.4
199109,1991.666667,-1.5
199110,1991.75,-1
199111,1991.833333,-0.7
199112,1991.916667,-1.8
199201,1992,-2.9
199202,1992.083333,-0.9
199203,1992.166667,-2
199204,1992.25,-1
199205,1992.333333,0.3
199206,1992.416667,-0.6
199207,1992.5,-0.6
199208,1992.583333,0.4
199209,1992.666667,0.1
199210,1992.75,-1.4
199211,1992.833333,-0.7
199212,1992.916667,-0.6
199301,1993,-0.9
199302,1993.083333,-0.7
199303,1993.166667,-0.5
199304,1993.25,-1.2
199305,1993.333333,-0.3
199306,1993.416667,-0.8
199307,1993.5,-0.8
199308,1993.583333,-0.9
199309,1993.666667,-0.7
199310,1993.75,-1.1
199311,1993.833333,-0.1
199312,1993.916667,0.2
199401,1994,-0.1
199402,1994.083333,0.3
199403,1994.166667,-0.7
199404,1994.25,-1.3
199405,1994.333333,-0.7
199406,1994.416667,-0.4
199407,1994.5,-1.3
199408,1994.583333,-1.2
199409,1994.666667,-1.6
199410,1994.75,-1.1
199411,1994.833333,-0.6
199412,1994.916667,-1.2
199501,1995,-0.4
199502,1995.083333,-0.1
199503,1995.166667,0.8
199504,1995.25,-0.7
199505,1995.333333,-0.4
199506,1995.416667,0.1
199507,1995.5,0.4
199508,1995.583333,0.3
199509,1995.666667,0.3
199510,1995.75,0
199511,1995.833333,0
199512,1995.916667,-0.5
199601,1996,1
199602,1996.083333,0.3
199603,1996.166667,1.1
199604,1996.25,0.8
199605,1996.333333,0.3
199606,1996.416667,1.2
199607,1996.5,0.7
199608,1996.583333,0.7
199609,1996.666667,0.6
199610,1996.75,0.6
199611,1996.833333,-0.1
199612,1996.916667,0.9
199701,1997,0.5
199702,1997.083333,1.7
199703,1997.166667,-0.4
199704,1997.25,-0.6
199705,1997.333333,-1.3
199706,1997.416667,-1.4
199707,1997.5,-0.8
199708,1997.583333,-1.4
199709,1997.666667,-1.4
199710,1997.75,-1.5
199711,1997.833333,-1.2
199712,1997.916667,-1
199801,1998,-2.7
199802,1998.083333,-2
199803,1998.166667,-2.4
199804,1998.25,-1.4
199805,1998.333333,0.3
199806,1998.416667,1
199807,1998.5,1.2
199808,1998.583333,1.2
199809,1998.666667,1
199810,1998.75,1.1
199811,1998.833333,1
199812,1998.916667,1.4
