Period,Epoch,Stage,UpperBoundary,LowerBoundary,Average,Rperiod,Gperiod,Bperiod,Repoch,Gepoch,Bepoch,Rstage,Gstage,Bstage,Period_Abbrev,Epoch_Abbrev,Stage_Abbrev,Period_Color,Epoch_Color,Stage_Color
Silurian,Llandovery,Telychian,432.93,438.59,435.76,0.701960784313725,0.882352941176471,0.713725490196078,0.6,0.843137254901961,0.701960784313725,0.749019607843137,0.901960784313726,0.811764705882353,S,,,#b2e1b5,#99d7b2,#bee6cf
Silurian,Llandovery,Aeronian,438.59,440.49,439.54,0.701960784313725,0.882352941176471,0.713725490196078,0.6,0.843137254901961,0.701960784313725,0.701960784313725,0.882352941176471,0.76078431372549,S,,,#b2e1b5,#99d7b2,#b2e1c1
Silurian,Llandovery,Rhuddanian,440.49,443.07,441.78,0.701960784313725,0.882352941176471,0.713725490196078,0.6,0.843137254901961,0.701960784313725,0.650980392156863,0.862745098039216,0.709803921568627,S,,,#b2e1b5,#99d7b2,#a6dcb4
Ordovician,Upper,Hirnantian,443.07,445.21,444.14,0.0,0.572549019607843,0.43921568627451,0.498039215686275,0.792156862745098,0.576470588235294,0.650980392156863,0.858823529411765,0.670588235294118,O,,,#009170,#7fca92,#a6dbab
Ordovician,Upper,Katian,445.21,452.75,448.98,0.0,0.572549019607843,0.43921568627451,0.498039215686275,0.792156862745098,0.576470588235294,0.6,0.83921568627451,0.623529411764706,O,,,#009170,#7fca92,#99d69f
Ordovician,Upper,Sandbian,452.75,458.18,455.465,0.0,0.572549019607843,0.43921568627451,0.498039215686275,0.792156862745098,0.576470588235294,0.549019607843137,0.815686274509804,0.580392156862745,O,,,#009170,#7fca92,#8bd093
Ordovician,Middle,Darriwilian,458.18,469.42,463.8,0.0,0.572549019607843,0.43921568627451,0.301960784313725,0.705882352941177,0.494117647058824,0.454901960784314,0.776470588235294,0.611764705882353,O,,,#009170,#4cb47e,#74c59c
Ordovician,Middle,Dapingian,469.42,471.26,470.34,0.0,0.572549019607843,0.43921568627451,0.301960784313725,0.705882352941177,0.494117647058824,0.4,0.752941176470588,0.572549019607843,O,,,#009170,#4cb47e,#66bf91
Ordovician,Lower,Floian,471.26,477.08,474.17,0.0,0.572549019607843,0.43921568627451,0.101960784313725,0.615686274509804,0.435294117647059,0.254901960784314,0.690196078431373,0.529411764705882,O,,,#009170,#199d6f,#41b086
Ordovician,Lower,Tremadocian,477.08,486.85,481.965,0.0,0.572549019607843,0.43921568627451,0.101960784313725,0.615686274509804,0.435294117647059,0.2,0.662745098039216,0.494117647058824,O,,,#009170,#199d6f,#33a97e
